it,kld_median,kld_mean
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
1.000000000000000000e+00,2.044697540880147990e+00,2.148836754270492477e+00
